name,state,FDR,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5
GENE-11284,YES,0,2282,1863,1337,1979,1763,2134,2580,2475,3727,4197
GENE-11349,YES,0,61,61,85,65,66,46,40,41,30,48
GENE-11432,YES,0,1112,1061,1101,898,1271,342,348,284,304,419
GENE-11481,YES,0,68,38,33,46,54,490,311,328,490,431
GENE-11641,YES,0,30,16,25,28,21,19,9,17,18,19
GENE-11719,YES,0,20,15,14,11,11,377,286,308,266,284
GENE-11722,YES,0,921,931,1838,1059,905,676,1253,790,1184,1010
GENE-11733,YES,0,28,24,21,23,26,46,43,66,37,46
GENE-11756,YES,0,274,318,252,261,293,1212,944,1294,1092,1298
GENE-11814,YES,0,202,200,190,164,186,329,332,302,379,367
GENE-11916,YES,0,1374,1427,1642,1231,1742,686,880,1124,1030,1120
GENE-11977,YES,0,4,4,2,4,5,61,72,66,70,33
GENE-11988,YES,0,59,114,225,187,350,7,30,7,5,18
GENE-12085,YES,0,755,311,479,467,604,890,642,904,2065,1227
GENE-12146,YES,0,1,29,44,2,98,19,31,409,408,12
GENE-12224,YES,0,21,20,13,20,13,6,9,9,7,10
GENE-12259,YES,0,8,9,7,8,16,17,9,14,17,18
GENE-12266,YES,0,2561,2384,2588,2446,2434,2247,2012,2148,2225,2091
GENE-12299,YES,0,35,24,36,47,31,19,10,6,8,8
GENE-12445,YES,0,638,677,575,842,620,238,234,235,225,167
GENE-12638,YES,0,171,155,174,142,177,23,17,27,11,20
GENE-12679,YES,0,11,5,12,12,12,126,116,135,120,117
GENE-12746,YES,0,22,18,20,17,13,52,36,59,50,66
GENE-12801,YES,0,124,146,121,129,113,19,56,40,27,22
GENE-12825,YES,0,237,195,204,264,217,22,17,18,19,23
GENE-12868,YES,0,102,46,37,44,51,433,514,239,255,818
GENE-12879,YES,0,548,762,683,519,729,4637,4673,5466,5253,5283
GENE-12893,YES,0,91,73,106,76,84,68,56,60,88,55
GENE-12911,YES,0,13,17,26,33,26,12,11,16,16,7
GENE-13046,YES,0,38,38,21,27,27,6,5,6,3,14
GENE-13065,YES,0,28,30,32,31,28,18,18,20,17,12
GENE-13114,YES,0,78,75,89,95,87,7,3,11,9,17
GENE-13147,YES,0,521,463,494,564,467,451,477,432,417,464
GENE-13150,YES,0,25,17,22,23,22,66,77,58,56,88
GENE-13158,YES,0,35,16,13,10,13,175,97,61,220,249
GENE-13248,YES,0,2647,3079,2828,2423,2804,209,232,225,215,266
GENE-13264,YES,0,1500,1387,1403,1535,1228,891,1022,1160,1282,969
GENE-13277,YES,0,8051,12191,9907,9919,8042,950,1094,1150,1988,1180
GENE-13440,YES,0,258,323,244,252,313,45,71,72,86,58
GENE-13588,YES,0,133,149,138,149,128,31,25,29,38,31
GENE-13670,YES,0,126,16,41,81,25,21,12,20,9,12
GENE-13723,YES,0,3245,2879,2697,2898,2881,2023,1851,2175,2146,2045
GENE-13773,YES,0,2025,2019,2222,1682,1471,247,256,285,196,201
GENE-13787,YES,0,9,4,9,5,6,21,33,18,16,12
GENE-13812,YES,0,10,8,6,17,9,27,19,35,24,32
GENE-13820,YES,0,97,135,97,79,90,62,53,50,58,53
GENE-14009,YES,0,78,72,70,67,33,2,6,14,5,20
GENE-14379,YES,0,825,586,263,1483,1664,95,136,114,110,77
GENE-14388,YES,0,106,85,122,113,72,666,167,539,560,313
GENE-14458,YES,0,782,451,574,275,280,594,618,479,325,424
GENE-14460,YES,0,2384,1823,1709,1933,1959,111,208,278,214,235
GENE-14473,YES,0,119,90,117,104,98,1654,1657,1411,1557,1541
GENE-14497,YES,0,137,99,130,101,151,123,142,72,135,133
GENE-14615,YES,0,148,129,128,152,142,16,16,23,23,22
GENE-14722,YES,0,30,24,28,27,23,14,9,20,20,20
GENE-14745,YES,0,3060,2938,3934,3493,3740,528,568,510,343,494
GENE-14810,YES,0,16,19,14,16,11,33,35,39,22,19
GENE-15043,YES,0,117,123,138,129,132,358,377,346,356,316
GENE-15113,YES,0,1583,291,151,213,473,806,1097,2503,3601,301
GENE-15246,YES,0,57,60,55,64,50,63,42,43,55,34
GENE-15498,YES,0,76,86,51,64,98,57,41,51,56,63
GENE-15502,YES,0,42,26,41,26,27,86,99,96,126,90
GENE-15552,YES,0,29,27,22,14,24,120,133,197,201,154
GENE-15795,YES,0,107,105,114,124,134,135,132,161,132,135
GENE-15828,YES,0,15,15,10,17,21,19,29,19,23,16
GENE-15832,YES,0,11,9,15,13,5,294,305,157,240,236
GENE-15941,YES,0,18,27,40,26,24,214,144,123,148,154
GENE-15985,YES,0,39,30,60,55,33,179,323,224,309,292
GENE-16121,YES,0,306,342,389,292,243,92,49,79,71,60
GENE-16219,YES,0,499,246,717,659,660,618,1016,1100,493,746
GENE-16246,YES,0,199,229,199,179,182,154,97,98,92,109
GENE-16247,YES,0,33,22,27,20,22,126,103,105,104,145
GENE-16434,YES,0,26,43,53,26,36,11,16,15,23,19
GENE-16478,YES,0,834,841,916,768,828,1883,2036,1938,1485,1492
GENE-16599,YES,0,315,325,341,337,386,50,45,49,51,46
GENE-16658,YES,0,207,212,247,214,277,152,147,139,114,165
GENE-16873,YES,0,58,53,67,73,46,300,384,349,349,227
GENE-16902,YES,0,695,837,649,759,971,246,152,184,208,197
GENE-16910,YES,0,99,149,121,138,131,43,48,34,38,41
GENE-16980,YES,0,21,13,15,12,18,58,57,35,43,36
GENE-17045,YES,0,16,10,6,11,18,30,25,12,41,32
GENE-17153,YES,0,661,769,671,646,463,958,894,1165,799,829
GENE-17158,YES,0,94,89,75,125,99,129,116,118,94,124
GENE-17239,YES,0,76,67,63,93,87,17,10,13,9,12
GENE-17330,YES,0,12,12,8,5,14,66,52,52,82,57
GENE-17362,YES,0,25,19,19,17,17,196,156,199,186,213
GENE-17453,YES,0,84,124,60,145,75,468,275,220,248,240
GENE-17475,YES,0,203,174,165,165,173,445,443,407,415,417
GENE-17555,YES,0,7,8,6,8,5,45,26,28,22,28
GENE-17560,YES,0,41,53,31,57,34,95,101,84,98,75
GENE-17582,YES,0,534,239,481,559,416,1094,207,620,171,192
GENE-17623,YES,0,59,72,48,56,62,26,30,47,50,49
GENE-17672,YES,0,65,85,92,65,70,763,737,790,804,738
GENE-17795,YES,0,226,173,161,147,128,117,63,195,196,131
GENE-17957,YES,0,1,6,1,4,2,116,72,93,104,109
GENE-18063,YES,0,12,23,19,19,14,40,35,30,31,28
GENE-18078,YES,0,3,1,4,1,3,44,68,48,43,49
GENE-18159,YES,0,1353,964,725,1057,1130,63,62,80,73,71
GENE-18169,YES,0,361,395,409,360,373,247,156,302,176,176
GENE-18250,YES,0,172,138,191,186,154,2725,2852,2864,2125,2227
GENE-18272,YES,0,5514,6713,5284,10713,4708,16903,12760,9723,3049,8696
GENE-18335,YES,0,195,266,228,313,251,21,12,11,20,11
GENE-18340,YES,0,24,24,18,32,19,522,502,420,303,528
GENE-18350,YES,0,372,487,172,271,156,352,323,515,640,36
GENE-18352,YES,0,654,252,888,323,1002,90,175,61,147,125
GENE-18367,YES,0,284,377,339,341,278,286,196,276,359,175
GENE-18415,YES,0,670,749,851,671,863,9612,19892,18318,14617,10082
GENE-18465,YES,0,198,193,151,201,223,124,140,112,109,128
GENE-18512,YES,0,61,48,27,40,47,77,64,124,106,95
GENE-18534,YES,0,436,381,420,393,445,1551,1401,1436,1427,1423
GENE-18601,YES,0,299,266,241,217,372,287,317,280,212,276
GENE-18718,YES,0,193,181,147,179,144,46,42,34,38,33
GENE-18778,YES,0,1318,1310,1415,1360,1204,31,35,35,43,31
GENE-18877,YES,0,2279,1782,3801,2449,1765,976,979,582,1412,814
GENE-19039,YES,0,15,23,20,19,18,11,14,8,17,13
GENE-19080,YES,0,373,358,356,332,285,58,69,50,63,57
GENE-19208,YES,0,2708,3240,3127,3053,3228,1239,1854,1617,1544,1637
GENE-19307,YES,0,956,874,673,679,830,144,130,131,129,134
GENE-19408,YES,0,458,578,564,533,610,876,851,830,867,873
GENE-19450,YES,0,612,645,571,547,537,344,275,318,345,333
GENE-19549,YES,0,746,853,923,688,832,74,95,91,54,50
GENE-19582,YES,0,78,76,74,56,61,118,143,121,142,109
GENE-19775,YES,0,28,31,46,64,31,581,424,502,340,271
GENE-19785,YES,0,571,395,362,453,402,1378,903,1464,1577,1437
GENE-19827,YES,0,7181,8804,6991,7853,6661,1702,1570,1580,1570,1638
GENE-19839,YES,0,20,11,10,13,4,24,17,7,7,7
GENE-19888,YES,0,133,97,67,88,138,220,236,185,213,222
GENE-19901,YES,0,0,19,177,71,540,221,1,40,0,2666
GENE-19917,YES,0,290,291,332,272,247,509,476,501,534,415
GENE-19960,YES,0,158,156,136,197,168,33,24,30,35,24
GENE-20030,YES,0,56,29,34,43,46,113,75,116,120,83
GENE-20242,YES,0,415,344,317,337,254,2792,3165,2749,2383,2160
GENE-20429,YES,0,73,56,89,88,64,253,264,151,246,199
GENE-20662,YES,0,77,45,111,86,96,279,281,165,167,221
GENE-20707,YES,0,401,248,553,668,700,197,113,122,89,135
GENE-20723,YES,0,1455,1312,1608,1708,1393,554,623,605,634,606
GENE-20865,YES,0,411,575,508,293,443,261,175,188,241,268
GENE-21054,YES,0,20,36,26,22,23,7,7,6,4,4
GENE-21122,YES,0,36,43,56,54,50,181,189,227,173,169
GENE-21199,YES,0,145,159,144,144,208,567,590,534,674,596
GENE-21268,YES,0,12,32,16,18,26,20,45,15,45,33
GENE-21336,YES,0,131,147,141,169,171,165,152,138,183,159
GENE-21344,YES,0,35,38,24,38,34,87,180,159,93,122
GENE-21506,YES,0,52,46,42,59,47,110,163,142,127,135
GENE-21673,YES,0,7,5,9,3,8,17,17,23,26,21
GENE-21771,YES,0,150,85,94,61,101,44,89,54,11,115
GENE-21868,YES,0,7254,5815,6942,8059,5664,30580,33775,22462,32505,22292
GENE-21879,YES,0,19,10,15,9,10,22,19,18,28,28
GENE-21923,YES,0,67,84,82,99,88,87,97,121,163,150
GENE-21972,YES,0,29,27,27,25,28,1,1,2,0,3
GENE-22209,YES,0,278,250,323,266,261,274,247,246,199,234
GENE-22399,YES,0,498,473,385,464,410,131,108,123,138,110
GENE-22443,YES,0,1105,943,1230,1062,869,392,395,330,239,356
GENE-22512,YES,0,13,9,23,14,16,26,45,48,40,31
GENE-22702,YES,0,1659,1554,1939,1546,1576,475,551,394,439,554
GENE-22873,YES,0,149,184,166,173,191,290,235,246,194,211
GENE-22998,YES,0,133,163,121,201,149,535,648,475,559,512
GENE-23008,YES,0,309,357,344,344,326,129,120,123,174,125
GENE-23034,YES,0,35,41,26,28,26,104,64,153,64,88
GENE-23070,YES,0,81,75,56,90,99,100,59,92,138,96
GENE-23103,YES,0,121,121,138,122,135,11,12,16,8,13
GENE-23115,YES,0,4265,2202,5976,2196,3914,349,248,398,363,454
GENE-23156,YES,0,1108,888,995,944,820,1131,1079,1001,1028,1137
GENE-23181,YES,0,30,16,18,34,39,183,237,210,185,170
GENE-23281,YES,0,13,19,32,18,19,16,17,11,6,5
GENE-23292,YES,0,16,11,5,14,4,55,34,42,39,43
GENE-23441,YES,0,2,9,3,6,5,110,116,138,168,105
GENE-23485,YES,0,5373,4733,6289,4608,4541,10918,11084,13823,9662,10179
GENE-23778,YES,0,335,379,459,404,425,282,240,259,237,288
GENE-23786,YES,0,33,42,59,57,46,48,67,60,56,77
GENE-23825,YES,0,37,61,49,75,49,1039,1122,1266,1130,880
GENE-23864,YES,0,100,80,90,59,105,430,185,306,233,191
GENE-24057,YES,0,5,4,3,5,5,16,25,19,13,16
GENE-24062,YES,0,236,226,269,248,271,200,222,210,213,199
GENE-24064,YES,0,7,7,12,10,11,215,220,222,196,197
GENE-24091,YES,0,109,127,111,134,128,174,228,136,170,177
GENE-24118,YES,0,263,186,214,226,208,349,315,307,361,333
GENE-24213,YES,0,278,312,330,261,290,528,607,434,578,465
GENE-24378,YES,0,54,43,30,61,33,34,55,49,54,44
GENE-24391,YES,0,276,297,209,318,275,1212,1231,1363,1506,1350
GENE-24524,YES,0,344,413,230,223,147,347,773,216,324,254
GENE-24620,YES,0,404,257,332,287,292,318,339,292,308,336
GENE-24681,YES,0,232,637,49,1,0,2,1,134,1,27
GENE-24793,YES,0,38,32,21,24,41,274,214,217,295,240
GENE-24799,YES,0,9,12,15,10,6,93,105,90,72,112
GENE-24895,YES,0,196,196,221,204,180,2991,2849,3752,2472,4538
GENE-24924,YES,0,626,483,466,481,491,2288,2408,2320,2282,1935
GENE-25189,YES,0,960,781,642,494,303,374,479,568,433,397
GENE-25277,YES,0,344,377,260,326,430,94,99,61,83,100
GENE-25284,YES,0,96,87,31,47,64,1885,1955,1663,1068,2547
GENE-25305,YES,0,417,491,560,393,375,1086,766,1004,981,1117
GENE-25312,YES,0,160,88,165,113,137,62,26,29,45,40
GENE-25424,YES,0,16,12,8,13,11,47,44,31,39,20
GENE-25593,YES,0,186,201,103,146,64,42,30,46,94,69
GENE-25638,YES,0,14,11,16,21,23,16,20,18,21,23
GENE-26141,YES,0,68,80,70,85,88,28,34,16,19,20
GENE-26150,YES,0,42,31,35,26,19,7,5,5,13,8
GENE-26163,YES,0,21,18,21,42,25,9,7,14,12,1
GENE-26168,YES,0,239,235,243,244,295,198,138,125,137,113
GENE-26214,YES,0,88,83,44,113,112,33,110,94,134,124
GENE-26342,YES,0,152,206,301,278,196,449,766,455,312,365
GENE-26464,YES,0,3419,3044,2848,2397,2231,2298,1830,1873,2050,2455
GENE-26486,YES,0,11,6,12,22,13,7,14,7,9,12
GENE-26695,YES,0,0,1,1,1,2,14,16,25,19,23
GENE-26699,YES,0,800,697,270,657,455,2708,2311,6978,2714,5060
GENE-26769,YES,0,27,40,31,24,35,95,55,59,48,78
GENE-26979,YES,0,622,674,690,790,613,3098,2257,3097,2730,4237
GENE-26989,YES,0,16,27,33,24,23,2,2,4,1,4
GENE-27087,YES,0,8,10,25,14,19,148,170,125,147,114
GENE-27204,YES,0,24,21,33,14,24,18,27,11,26,14
GENE-27279,YES,0,358,298,287,309,273,23,33,32,48,37
GENE-27324,YES,0,129,164,149,137,116,582,606,671,839,865
GENE-27359,YES,0,1342,854,959,1974,907,1968,2107,1436,2532,1821
GENE-27378,YES,0,219,273,307,275,279,997,990,862,864,957
GENE-27476,YES,0,3349,2335,2171,2724,2654,1330,1201,1406,1545,1551
GENE-27530,YES,0,389,201,377,203,238,159,283,155,191,125
GENE-27651,YES,0,108,74,76,84,72,74,77,65,70,74
GENE-27803,YES,0,107,118,127,89,153,77,138,90,105,110
GENE-27956,YES,0,452,602,634,819,616,813,607,671,566,488
GENE-28051,YES,0,51,34,42,55,61,41,49,33,48,43
GENE-28131,YES,0,37,31,37,49,54,45,74,77,69,80
GENE-28133,YES,0,811,724,804,1973,1937,1781,863,1419,1537,528
GENE-28152,YES,0,3673,2031,2792,4321,5083,187,390,315,411,478
GENE-28187,YES,0,1,2,1,1,1,57,37,48,41,49
GENE-28243,YES,0,184,196,226,160,163,75,55,72,74,51
GENE-28267,YES,0,0,4,2,8,1,0,119,0,31,11
GENE-28616,YES,0,149,146,133,148,159,441,326,352,324,286
GENE-28621,YES,0,492,1430,75,172,10,3,707,0,288,2
GENE-28713,YES,0,53,141,81,104,42,75,84,71,92,116
GENE-28742,YES,0,45,29,21,26,45,1420,1100,1853,2001,1231
GENE-28832,YES,0,3,4,8,4,10,39,38,47,33,51
GENE-29029,YES,0,21,25,21,29,25,15,20,18,15,12
GENE-29189,YES,0,3,18,28,11,22,8,3,4,5,8
GENE-29249,YES,0,7,7,11,5,4,11,22,22,19,24
GENE-29256,YES,0,885,951,1008,992,874,395,394,397,337,361
GENE-29360,YES,0,258,255,180,185,222,49,42,40,52,42
GENE-29414,YES,0,166,185,154,134,156,4856,6931,7116,6713,9131
GENE-29499,YES,0,101,78,116,105,160,201,139,120,138,147
GENE-29569,YES,0,347,328,328,298,361,601,672,617,672,663
GENE-29681,YES,0,156,134,164,190,164,650,569,464,503,549
GENE-29694,YES,0,28,17,12,19,20,14,26,21,20,18
GENE-29762,YES,0,42,39,48,38,34,7,10,24,12,17
GENE-29764,YES,0,89,72,120,97,120,6,6,16,11,17
GENE-29831,YES,0,86,41,39,58,124,20,15,13,6,9
GENE-2,YES,1,0,0,0,0,0,0,0,0,0,0
GENE-3,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-4,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-5,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6,NO,1,81,103,71,71,91,77,77,72,73,63
GENE-7,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-8,NO,1,942,864,977,993,969,959,995,884,854,961
GENE-9,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-10,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-11,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-12,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-14,NO,1,3,0,5,1,0,3,1,1,2,2
GENE-15,NO,1,39,77,70,57,50,60,54,65,56,59
GENE-16,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-17,YES,1,0,0,0,0,0,0,0,0,0,0
GENE-18,NO,1,15,20,19,13,24,20,18,12,17,21
GENE-19,NO,1,13,9,12,12,9,10,11,15,11,8
GENE-20,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-21,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-22,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-23,NO,1,100,78,95,100,90,99,103,119,95,121
GENE-24,NO,1,10,6,8,4,13,2,4,9,4,4
GENE-25,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-26,NO,1,67,48,40,48,47,54,40,39,46,49
GENE-27,NO,1,350,296,360,223,400,336,239,333,320,285
GENE-28,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-29,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-30,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-31,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-32,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-33,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-34,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-35,NO,1,3,2,1,3,1,0,0,1,3,0
GENE-36,NO,1,2,2,2,2,1,1,2,3,5,1
GENE-37,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-38,NO,1,2,0,0,2,0,0,0,0,0,0
GENE-39,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-40,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-41,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-42,NO,1,1029,1133,1094,891,897,1207,1319,1239,1286,1296
GENE-43,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-44,NO,1,1,1,0,0,0,0,2,3,1,1
GENE-45,NO,1,125,125,143,130,111,156,108,111,88,90
GENE-46,NO,1,189,114,164,135,177,128,182,153,161,185
GENE-47,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-48,NO,1,77,80,106,94,106,145,87,112,135,66
GENE-49,NO,1,447,543,535,607,668,510,547,525,500,538
GENE-50,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-51,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-52,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-53,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-54,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-55,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-56,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-57,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-58,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-59,NO,1,2,4,2,4,3,1,3,5,3,1
GENE-60,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-61,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-62,NO,1,0,0,0,0,0,0,0,0,0,0
